

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
339.240  000.014  000.014: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/signs.vim
340.412  000.689  000.689: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/autoload/syntastic/util.vim
350.987  000.177  000.177: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/autoloclist.vim
351.180  000.076  000.076: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/balloons.vim
351.491  000.240  000.240: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/checker.vim
351.681  000.118  000.118: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/cursor.vim
351.852  000.105  000.105: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/highlighting.vim
352.290  000.374  000.374: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/loclist.vim
352.484  000.120  000.120: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/modemap.vim
352.648  000.100  000.100: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/notifiers.vim
353.153  000.443  000.443: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/registry.vim
353.349  000.130  000.130: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic/signs.vim
356.108  016.777  014.205: sourcing /Users/harvey/.vim_runtime/autoload/syntastic/plugin/syntastic.vim
358.052  000.139  000.139: sourcing /Users/harvey/.vim_runtime/autoload/ale/autoload/ale/events.vim
358.785  002.256  002.117: sourcing /Users/harvey/.vim_runtime/autoload/ale/plugin/ale.vim
368.182  009.066  009.066: sourcing /Users/harvey/.vim_runtime/autoload/vim-easymotion/plugin/EasyMotion.vim
369.103  000.399  000.399: sourcing /Users/harvey/.vim_runtime/autoload/lightline.vim/plugin/lightline.vim
369.615  000.307  000.307: sourcing /Users/harvey/.vim_runtime/autoload/vim-commentary/plugin/commentary.vim
370.692  000.887  000.887: sourcing /Users/harvey/.vim_runtime/autoload/taglist.vim/plugin/taglist.vim
372.000  001.029  001.029: sourcing /Users/harvey/.vim_runtime/autoload/vim-buftabline/plugin/buftabline.vim
372.491  000.221  000.221: sourcing /Users/harvey/.vim_runtime/autoload/vim-radical/plugin/radical.vim
373.677  000.978  000.978: sourcing /Users/harvey/.vim_runtime/autoload/vim-surround/plugin/surround.vim
374.843  000.784  000.784: sourcing /Users/harvey/.vim_runtime/autoload/auto-pairs/plugin/auto-pairs.vim
375.183  000.024  000.024: sourcing /Users/harvey/.vim_runtime/sources_non_forked/ale/plugin/ale.vim
375.381  000.019  000.019: sourcing /Users/harvey/.vim_runtime/sources_non_forked/auto-pairs/plugin/auto-pairs.vim
377.027  001.472  001.472: sourcing /Users/harvey/.vim_runtime/sources_non_forked/bufexplorer/plugin/bufexplorer.vim
378.079  000.284  000.284: sourcing /Users/harvey/.vim_runtime/sources_non_forked/ctrlp.vim/autoload/ctrlp/mrufiles.vim
378.443  001.220  000.936: sourcing /Users/harvey/.vim_runtime/sources_non_forked/ctrlp.vim/plugin/ctrlp.vim
378.688  000.055  000.055: sourcing /Users/harvey/.vim_runtime/sources_non_forked/gist-vim/plugin/gist.vim
378.942  000.031  000.031: sourcing /Users/harvey/.vim_runtime/sources_non_forked/goyo.vim/plugin/goyo.vim
379.367  000.170  000.170: sourcing /Users/harvey/.vim_runtime/sources_non_forked/lightline-ale/plugin/lightline/ale.vim
379.563  000.020  000.020: sourcing /Users/harvey/.vim_runtime/sources_non_forked/lightline.vim/plugin/lightline.vim
380.676  000.255  000.255: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/autoload/nerdtree.vim
381.968  000.595  000.595: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/path.vim
382.667  000.261  000.261: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/menu_controller.vim
383.306  000.112  000.112: sourcing /Users/harvey/.vim_runtime/sources_non_forked/nerdtree/lib/nerdtree/menu_item.vim
